상장주식수,보유수량,지분율,한도수량,한도소진률
5969782550,3168275048,53.06,5969782550,53.06
5969782550,3167729055,53.06,5969782550,53.06
5969782550,3170585305,53.12,5969782550,53.12
5969782550,3171453263,53.12,5969782550,53.12
5969782550,3170450735,53.12,5969782550,53.12
5969782550,3173791175,53.16,5969782550,53.16
5969782550,3173259510,53.16,5969782550,53.16
5969782550,3176252380,53.22,5969782550,53.22
5969782550,3176531146,53.22,5969782550,53.22
5969782550,3176964207,53.22,5969782550,53.22
5969782550,3178196288,53.25,5969782550,53.25
5969782550,3183411370,53.34,5969782550,53.34
5969782550,3188833172,53.4,5969782550,53.4
5969782550,3191428264,53.47,5969782550,53.47
5969782550,3192272398,53.47,5969782550,53.47
5969782550,3193542766,53.5,5969782550,53.5
5969782550,3196356503,53.53,5969782550,53.53
5969782550,3196826286,53.56,5969782550,53.56
5969782550,3197068350,53.56,5969782550,53.56
5969782550,3196030392,53.53,5969782550,53.53
5969782550,3196633759,53.56,5969782550,53.56
5969782550,3199460880,53.6,5969782550,53.6
