Date,DEXUSEU
2019-01-01,
2019-01-02,1.1357
2019-01-03,1.1399
2019-01-04,1.141
2019-01-07,1.1468
2019-01-08,1.1444
2019-01-09,1.1524
2019-01-10,1.1517
2019-01-11,1.1479
2019-01-14,
2019-01-15,1.1392
2019-01-16,1.1408
2019-01-17,1.1386
2019-01-18,1.1362
2019-01-21,
2019-01-22,1.1359
2019-01-23,1.139
2019-01-24,1.1322
2019-01-25,1.1407
2019-01-28,1.1438
2019-01-29,1.1424
2019-01-30,1.1418
2019-01-31,1.1454
2019-02-01,1.1474
2019-02-04,1.1438
2019-02-05,1.1406
2019-02-06,1.138
2019-02-07,1.1357
2019-02-08,1.1326
2019-02-11,1.1277
2019-02-12,1.1316
2019-02-13,1.1288
2019-02-14,1.1284
2019-02-15,1.1268
2019-02-18,
2019-02-19,1.1328
2019-02-20,
2019-02-21,1.1338
2019-02-22,1.1342
2019-02-25,1.1345
2019-02-26,1.1374
2019-02-27,1.137
2019-02-28,1.1379
2019-03-01,1.1376
2019-03-04,1.1328
2019-03-05,1.13
2019-03-06,1.132
2019-03-07,1.1214
2019-03-08,1.1243
2019-03-11,1.1226
2019-03-12,1.1276
2019-03-13,1.131
2019-03-14,1.1304
2019-03-15,1.1326
2019-03-18,1.1337
2019-03-19,1.1346
2019-03-20,1.1352
2019-03-21,1.1361
2019-03-22,1.1282
2019-03-25,1.1324
2019-03-26,1.128
2019-03-27,1.125
2019-03-28,1.1236
2019-03-29,1.1228
2019-04-01,1.121
2019-04-02,1.1186
2019-04-03,1.1242
2019-04-04,1.1216
2019-04-05,1.1217
2019-04-08,1.1262
2019-04-09,1.1278
2019-04-10,1.1266
2019-04-11,1.1262
2019-04-12,1.1304
2019-04-15,1.1304
2019-04-16,1.1293
2019-04-17,1.1297
2019-04-18,1.1241
2019-04-19,1.1246
2019-04-22,1.1258
2019-04-23,1.1213
2019-04-24,1.1192
2019-04-25,1.114
2019-04-26,1.1154
2019-04-29,1.1166
2019-04-30,1.1201
2019-05-01,1.1246
2019-05-02,1.1184
2019-05-03,1.1186
2019-05-06,1.1197
2019-05-07,1.1178
2019-05-08,1.1206
2019-05-09,1.1228
2019-05-10,1.1241
2019-05-13,1.1232
2019-05-14,1.1207
2019-05-15,1.1208
2019-05-16,1.1178
2019-05-17,1.1166
2019-05-20,1.117
2019-05-21,1.1158
2019-05-22,1.1156
2019-05-23,1.1172
2019-05-24,1.1197
2019-05-27,
2019-05-28,1.1177
2019-05-29,1.1136
2019-05-30,1.114
2019-05-31,1.1149
2019-06-03,1.1206
2019-06-04,1.1236
2019-06-05,1.1242
2019-06-06,1.1294
2019-06-07,1.1324
2019-06-10,1.1311
2019-06-11,1.1316
2019-06-12,1.131
2019-06-13,1.1275
2019-06-14,1.1217
2019-06-17,1.1235
2019-06-18,1.1196
2019-06-19,1.1214
2019-06-20,1.1284
2019-06-21,1.1328
2019-06-24,1.1393
2019-06-25,1.1386
2019-06-26,1.139
2019-06-27,1.1372
2019-06-28,1.1374
2019-07-01,1.1307
2019-07-02,1.1301
2019-07-03,1.1275
2019-07-04,
2019-07-05,1.1216
2019-07-08,1.1208
2019-07-09,1.121
2019-07-10,1.126
2019-07-11,1.1261
2019-07-12,1.1254
2019-07-15,1.126
2019-07-16,1.1212
2019-07-17,1.1232
2019-07-18,1.1228
2019-07-19,1.122
2019-07-22,1.1214
2019-07-23,1.1156
2019-07-24,1.1141
2019-07-25,1.1156
2019-07-26,1.1121
2019-07-29,1.1142
2019-07-30,1.1148
2019-07-31,1.113
2019-08-01,1.1062
2019-08-02,1.1112
2019-08-05,1.1197
2019-08-06,1.1196
2019-08-07,1.1236
2019-08-08,1.121
2019-08-09,1.1222
2019-08-12,1.1212
2019-08-13,1.1182
2019-08-14,1.1144
2019-08-15,1.1106
2019-08-16,1.1091
2019-08-19,1.1096
2019-08-20,1.1092
2019-08-21,1.1098
2019-08-22,1.1089
2019-08-23,1.1148
2019-08-26,1.1112
2019-08-27,1.1094
2019-08-28,1.1084
2019-08-29,1.1059
2019-08-30,1.0989
2019-09-02,
2019-09-03,1.0968
2019-09-04,1.1025
2019-09-05,1.1038
2019-09-06,1.1042
2019-09-09,1.1056
2019-09-10,1.1042
2019-09-11,1.1001
2019-09-12,1.1074
2019-09-13,1.1074
2019-09-16,1.1006
2019-09-17,1.1063
2019-09-18,1.1061
2019-09-19,1.1046
2019-09-20,1.1004
2019-09-23,1.0991
2019-09-24,1.0999
2019-09-25,1.0949
2019-09-26,1.0938
2019-09-27,1.0942
2019-09-30,1.0905
2019-10-01,1.0932
2019-10-02,1.0951
2019-10-03,1.0991
2019-10-04,1.0974
2019-10-07,1.0984
2019-10-08,1.0949
2019-10-09,1.0978
2019-10-10,1.1018
2019-10-11,1.1039
2019-10-14,
2019-10-15,1.1036
2019-10-16,1.1075
2019-10-17,1.1129
2019-10-18,1.1155
2019-10-21,1.1145
2019-10-22,1.1138
2019-10-23,1.1118
2019-10-24,1.1098
2019-10-25,1.1081
2019-10-28,1.1094
2019-10-29,1.1117
2019-10-30,1.1123
2019-10-31,1.1155
2019-11-01,1.1169
2019-11-04,1.1144
2019-11-05,1.107
2019-11-06,1.1076
2019-11-07,1.1045
2019-11-08,1.1019
2019-11-11,
2019-11-12,1.1017
2019-11-13,1.1004
2019-11-14,1.1016
2019-11-15,1.1046
2019-11-18,1.1079
2019-11-19,1.1075
2019-11-20,1.1063
2019-11-21,1.1067
2019-11-22,1.1029
2019-11-25,1.1009
2019-11-26,1.1012
2019-11-27,1.1002
2019-11-28,
2019-11-29,1.1019
2019-12-02,1.1075
2019-12-03,1.1089
2019-12-04,1.1076
2019-12-05,1.1104
2019-12-06,1.1052
2019-12-09,1.1067
2019-12-10,1.109
2019-12-11,1.1092
2019-12-12,1.1115
2019-12-13,1.1128
2019-12-16,1.1139
2019-12-17,1.1148
2019-12-18,1.1113
2019-12-19,1.1128
2019-12-20,1.1076
2019-12-23,1.1091
2019-12-24,1.1084
2019-12-25,
2019-12-26,1.1102
2019-12-27,1.1174
2019-12-30,1.1217
2019-12-31,1.1227
